latitude,longitude,bottom_depth_meters
39.5,-70.8855,2428.66666666667
39.55,-70.8855,2395.62000000001
39.6,-70.8855,2324.14666666667
39.65,-70.8855,2245.23333333334
39.7,-70.8855,2049.14000000003
39.75,-70.8855,1745.74666666671
39.8,-70.8855,1357.13333333346
39.85,-70.8855,881.733333333372
39.9,-70.8855,586.326666666685
39.95,-70.8855,422.413333333354
40,-70.8855,295.073333333343
40.05,-70.8855,197.753333333348
40.1,-70.8855,146.026666666666
40.15,-70.8855,135.506666666666
40.2,-70.8855,127.586666666667
40.25,-70.8855,120.666666666667
40.3,-70.8855,110.166666666669
40.35,-70.8855,93.3266666666685
40.4,-70.8855,85.5800000000008
40.45,-70.8855,80.5000000000004
40.5,-70.8855,76.3333333333336
40.55,-70.8855,71.2533333333337
40.6,-70.8855,68.0866666666664
40.65,-70.8855,67
40.7,-70.8855,64.3333333333336
40.75,-70.8855,59.5000000000004
40.8,-70.8855,55.4133333333345
40.85,-70.8855,53.2466666666672
40.9,-70.8855,54
40.95,-70.8855,52.9199999999996
41,-70.8855,47.5800000000008
41.05,-70.8855,37.4133333333368
41.1,-70.8855,36.7533333333328
41.15,-70.8855,31.5000000000004
41.2,-70.8855,21.5866666666668
41.25,-70.8855,28.1133333333295
41.3,-70.8855,32.1866666666635
41.35,-70.8855,24.433333333332
41.4,-70.8855,23.3333333333336
41.45,-70.8855,12.1199999999946
41.5,-70.8855,16.2533333333332
